Seq     Code    Amount
001     A          12455
002     A          13223
003     C           8733
004     B           2873
005     C          11833
006     C          22833
007     A           5437
008     B           5842
009     B           8700
010     C          12873
011     A           1680
012     A           3349
013     B           6517
014     A           9124
015     A           1509
016     A           5683
017     B           6654
018     A            595
019     C           2599
020     C            164
021     A           9776
022     C           4510
023     A           9451
024     B           9706
025     B           8023
