Seq     Code    Amount
001     A          12455
002     B          13223
003     C           8733
004     A           2873
005     A          11833
006     B          22833
007     A           3008
008     A          10363
009     A          12976
010     C           4165
011     A           8489
012     A           4807
013     B          11125
014     A          11216
015     A          12953
016     C           1060
017     B           6467
018     A           8701
019     C           6728
020     C           4978
021     A          11324
022     C           7300
023     C          14198
024     C           5525
025     C            520
026     B              7
027     B           6276
028     A          12233
029     A           1543
030     A           8670
031     A            837
032     A           6990
033     A          12344
034     B          11197
035     A           5219
