January	1991	4259	1260	253
February	1991	2682	1110	436
March	1991	4910	1119	777
April	1991	1467	1417	1011
May	1991	1428	566	448
June	1991	2991	1481	826
July	1991	2851	1056	969
August	1991	2431	744	384
September	1991	4935	1329	940
October	1991	5765	901	757
November	1991	2418	1496	472
December	1991	4311	1308	573
January	1992	3287	1441	1161
February	1992	2907	517	1069
March	1992	4824	514	1094
April	1992	4601	1060	1075
May	1992	5665	632	781
June	1992	4342	1220	434
July	1992	3105	1049	742
August	1992	4405	586	950
September	1992	3339	1331	1068
October	1992	2646	1342	1071
November	1992	1329	1236	925
December	1992	5953	983	747
January	1993	4190	875	385
February	1993	2076	950	997
March	1993	3675	1150	569
April	1993	1128	737	439
May	1993	3931	1283	385
June	1993	1321	865	741
July	1993	3040	1303	252
August	1993	2516	657	949
September	1993	3973	1022	284
October	1993	2977	897	1139
November	1993	5617	847	605
December	1993	3360	1329	1048
January	1994	4939	987	427
February	1994	5189	910	246
March	1994	1494	998	935
April	1994	4312	780	760
May	1994	2219	668	624
June	1994	5244	954	782
July	1994	3045	817	1060
August	1994	2959	1174	920
September	1994	3205	1076	538
October	1994	4179	1053	550
November	1994	2642	695	258
December	1994	2445	1490	546
January	1995	3214	906	715
February	1995	3795	874	517
March	1995	2948	1163	524
April	1995	1705	1465	229
May	1995	2189	1485	515
June	1995	5826	1185	605
July	1995	2660	1152	1040
August	1995	3868	858	346
September	1995	4054	1427	1103
October	1995	3357	606	1046
November	1995	5316	1232	810
December	1995	4275	785	428
January	1996	5611	727	889
February	1996	3779	1086	253
March	1996	5496	873	310
April	1996	3599	818	1131
May	1996	1824	1235	436
June	1996	5710	1374	542
July	1996	3634	887	549
August	1996	2748	1338	899
September	1996	5652	851	923
October	1996	2008	1181	540
November	1996	2485	1273	483
December	1996	5832	577	990
January	1997	2065	804	1094
February	1997	1384	952	694
March	1997	4152	1265	553
April	1997	3217	514	623
May	1997	3802	609	871
June	1997	3389	935	1059
July	1997	3793	740	504
August	1997	2154	1286	676
September	1997	4257	957	1129
October	1997	2423	1414	516
November	1997	1614	747	992
December	1997	1950	509	828
January	1998	1776	1052	504
February	1998	2561	1342	274
March	1998	5147	1288	776
April	1998	3338	510	1027
May	1998	1153	1158	237
June	1998	4351	1276	1157
July	1998	1466	1101	672
August	1998	3778	1003	230
September	1998	5924	1460	923
October	1998	1992	928	289
November	1998	4560	506	1078
December	1998	3805	1054	1047
January	1999	4960	918	236
February	1999	1774	1027	1113
March	1999	1797	624	578
April	1999	1981	1317	1039
May	1999	2033	1476	266
June	1999	3763	1319	472
July	1999	1082	658	343
August	1999	5319	936	749
September	1999	1240	1241	891
October	1999	5949	554	613
November	1999	1190	704	745
December	1999	1068	705	412
January	2000	3097	1361	573
February	2000	3187	772	463
March	2000	4584	1411	815
April	2000	5481	631	1146
May	2000	1662	966	829
June	2000	5620	1333	317
July	2000	2618	834	306
August	2000	1042	754	902
September	2000	3508	1118	601
October	2000	3240	951	1091
November	2000	3170	540	803
December	2000	5245	1137	617
January	2001	5920	569	842
February	2001	3422	1230	807
March	2001	1834	558	944
April	2001	3878	1188	214
May	2001	4308	1311	209
June	2001	4727	1098	829
July	2001	4182	583	1105
August	2001	4629	522	417
September	2001	5321	1418	448
October	2001	4143	1499	770
November	2001	4270	700	1116
December	2001	5114	1315	650
January	2002	2892	516	782
February	2002	2551	660	480
March	2002	4436	1392	591
April	2002	3076	936	595
May	2002	5918	991	524
June	2002	4000	652	1114
July	2002	2479	1453	1101
August	2002	4218	1215	1044
September	2002	1286	642	596
October	2002	4486	1391	1085
November	2002	4500	1448	830
December	2002	3760	954	958
January	2003	3627	571	408
February	2003	4479	1306	242
March	2003	5697	943	700
April	2003	4069	731	380
May	2003	3610	1118	1175
June	2003	5608	1104	1091
July	2003	3809	785	1156
August	2003	5630	1181	606
September	2003	5747	927	484
October	2003	4196	585	1085
November	2003	1917	1316	221
December	2003	2764	625	708
January	2004	4175	893	455
February	2004	1562	888	388
March	2004	1807	1205	827
April	2004	5776	1380	740
May	2004	5567	1479	626
June	2004	1951	1027	746
July	2004	2319	1041	225
August	2004	1034	1256	947
September	2004	1103	1068	735
October	2004	1832	1092	593
November	2004	3512	707	557
December	2004	2357	1423	930
January	2005	5637	943	638
February	2005	4865	703	1095
March	2005	3862	1207	990
April	2005	4694	1084	1026
May	2005	3671	576	791
June	2005	1559	1307	950
July	2005	2120	720	363
August	2005	5248	754	935
September	2005	2866	1469	1133
October	2005	1218	732	210
November	2005	3099	1180	424
December	2005	2117	781	299
January	2006	2051	680	712
February	2006	2860	811	285
March	2006	2603	514	918
April	2006	3979	913	322
May	2006	5753	1261	1032
June	2006	5491	674	994
July	2006	2977	672	625
August	2006	4939	666	567
September	2006	2642	622	350
October	2006	2508	717	420
November	2006	4029	841	676
December	2006	1656	786	556
January	2007	2437	798	523
February	2007	2027	542	475
March	2007	1186	1340	958
April	2007	3455	674	462
May	2007	5729	832	702
June	2007	5012	736	209
July	2007	5857	920	466
August	2007	5214	1407	543
September	2007	3595	1004	399
October	2007	3960	1137	639
November	2007	4658	1197	791
December	2007	3197	787	260
January	2008	4411	737	788
February	2008	2500	850	590
March	2008	4111	511	294
April	2008	5865	974	490
May	2008	1028	1296	883
June	2008	5526	924	1040
July	2008	2480	1171	811
